year,interest_rate
1999,-0.3776
1999,17.4472
1999,0.3328
1999,1.999
1999,-0.2069
1999,0.9231
1999,34.5482
2000,-0.9027
2000,-0.4625
2000,-0.1425
2000,1.5908
2000,68.5095
2000,0.3199
2000,5.096
2000,-0.3841
2000,-0.5577
2000,40.8176
2000,0.7942
2000,0.1513
2000,0.5495
2000,1.0353
2000,5.0747
2000,0.4685
2000,0.5656
2000,0.8998
2000,2.5739
2000,2.043
2000,-0.9795
2001,0.2319
2001,-0.2982
2001,0.4615
2001,-0.1387
2001,1.4304
2001,2.1289
2001,0.4761
2001,-0.4277
2001,0.7773
2001,-0.9522
2001,3.9996
2001,3.5314
2001,40.1869
2001,2.7565
2001,-0.2868
2001,1.9041
2001,0.9071
2001,-0.2425
2001,0.1803
2001,3.4897
2002,0.2147
2002,-0.0299
2002,0.5862
2002,0.553
2002,-0.1327
2002,12.6263
2002,-0.5926
2002,-0.3014
2002,0.2333
2002,-0.4173
2002,2.4908
2002,0.4115
2002,0.4976
2002,-0.1954
2002,0.7274
2002,-0.8686
2002,-0.8034
2002,-0.4415
2002,-0.1994
2003,2.5949
2003,1.2741
2003,2.6981
2003,1.0437
2003,1.5289
2003,-0.0666
2003,0.3778
2003,0.4794
2003,-0.3522
2003,-0.5692
2003,0.6794
2003,-0.105
2003,-0.6736
2004,0.0456
2004,-0.2653
2004,-0.3932
2004,14.7049
2004,-0.4367
2004,1.939
2004,0.3908
2004,0.542
2004,15.3892
2004,17.9
2004,-0.1952
2004,15.3854
2005,3.0098
2005,0.275
2005,0.4749
2005,0.7025
2005,1.0917
2005,0.7952
2005,-0.4759
2005,1.3313
2005,0.2993
2005,4.5722
2005,0.068
2006,4.4396
2006,-0.4724
2006,0.7766
2006,6.0793
2006,3.2711
2006,0.7688
2006,1.3389
2006,-0.0066
2006,-0.2405
2006,0.0772
2006,-0.5355
2006,0.1514
2006,-0.4696
2006,-0.0054
2006,0.4505
2006,-0.9678
2006,-0.5454
2007,-0.4324
2007,1.0801
2007,-0.1689
2007,0.0163
2007,-0.1774
2007,1.3284
2007,-0.8497
2007,-0.1583
2007,25.0649
2007,16.1203
2007,-0.8999
2007,1.2631
2007,1.557
2008,-0.9583
2008,0.864
2008,2.8949
2008,2.8727
2008,-0.53
2008,1.8933
2008,2.4131
2008,1.9622
2008,-0.9136
2008,-0.6892
2008,-0.3261
2008,1.2183
2008,-0.5506
2008,1.8736
2009,-0.233
2009,57.1791
2009,-0.2325
2009,0.145
2009,0.2581
2009,0.2626
2009,-0.5545
2009,0.4063
2009,0.3781
2009,-0.6472
2009,0.6713
2009,-0.5514
2009,-0.042
2009,-0.9351
2010,0.9766
