player_id,year,war,salary,war_per_million
aardsda01,2004,-0.2,300000.0,-0.6667
aardsda01,2007,-0.4,387500.0,-1.0323
aardsda01,2008,-0.3,403250.0,-0.744
aardsda01,2009,1.7,419000.0,4.0573
aardsda01,2010,0.7,2750000.0,0.2545
aardsda01,2012,0.0,500000.0,0.0
aardsda01,2013,-0.1,500000.0,-0.2
abbotje01,1998,-0.6,175000.0,-3.4286
abbotje01,1999,-0.4,255000.0,-1.5686
abbotje01,2000,-0.3,255000.0,-1.1765
abbotje01,2001,0.0,300000.0,0.0
abbotpa01,1990,-0.3,100000.0,-3.0
abbotpa01,1992,0.3,126000.0,2.381
abbotpa01,1998,0.5,175000.0,2.8571
abbotpa01,1999,2.4,235000.0,10.2128
abbotpa01,2000,2.6,285000.0,9.1228
abbotpa01,2001,1.3,1700000.0,0.7647
abbotpa01,2002,-1.3,3425000.0,-0.3796
abbotpa01,2004,-1.1,600000.0,-1.8333
abernbr01,2002,-0.2,215000.0,-0.9302
abernbr01,2003,-0.8,300000.0,-2.6667
abreubo01,1997,0.4,150000.0,2.6667
abreubo01,1998,6.4,180000.0,35.5556
abreubo01,1999,6.1,400000.0,15.25
abreubo01,2000,6.2,2933333.0,2.1136
abreubo01,2001,5.2,4983000.0,1.0435
abreubo01,2002,5.8,6333333.0,0.9158
abreubo01,2003,5.4,9100000.0,0.5934
abreubo01,2004,6.6,10600000.0,0.6226
abreubo01,2005,3.6,13100000.0,0.2748
abreubo01,2006,3.9,13600000.0,0.2868
abreubo01,2007,2.4,15000000.0,0.16
abreubo01,2008,2.7,16000000.0,0.1688
abreubo01,2009,3.2,5000000.0,0.64
abreubo01,2010,1.9,9000000.0,0.2111
abreubo01,2011,1.6,9000000.0,0.1778
abreubo01,2012,-0.5,9000000.0,-0.0556
accarje01,2006,-0.3,330000.0,-0.9091
accarje01,2007,2.2,392200.0,5.6094
accarje01,2008,-0.5,392200.0,-1.2749
accarje01,2009,0.6,900000.0,0.6667
accarje01,2010,-0.2,1080000.0,-0.1852
accarje01,2011,-0.3,1080000.0,-0.2778
acevejo01,2002,-0.6,233000.0,-2.5751
acevejo01,2004,-1.4,340000.0,-4.1176
aceveju01,1995,-0.4,109000.0,-3.6697
aceveju01,1998,3.0,200000.0,15.0
aceveju01,1999,-0.7,475000.0,-1.4737
aceveju01,2000,0.9,612500.0,1.4694
aceveju01,2002,1.2,850000.0,1.4118
aceveju01,2003,-1.0,900000.0,-1.1111
adamsmi03,2005,0.4,331000.0,1.2085
adamsmi03,2009,1.1,414800.0,2.6519
adamsmi03,2010,1.9,1000000.0,1.9
adamsmi03,2011,2.9,2535000.0,1.144
adamsmi03,2012,1.1,4400000.0,0.25
adamsmi03,2013,0.3,5000000.0,0.06
adamsmi03,2014,0.2,7000000.0,0.0286
adamste01,1995,-0.4,109000.0,-3.6697
adamste01,1996,1.7,113000.0,15.0442
adamste01,1997,-0.6,215000.0,-2.7907
adamste01,1998,0.2,295000.0,0.678
adamste01,1999,0.4,736000.0,0.5435
adamste01,2000,0.6,1400000.0,0.4286
adamste01,2001,2.0,2600000.0,0.7692
adamste01,2002,-0.4,2700000.0,-0.1481
adamste01,2003,1.4,2900000.0,0.4828
adamste01,2004,0.5,1700000.0,0.2941
adamste01,2005,-1.0,500000.0,-2.0
adcocna01,2011,0.2,414000.0,0.4831
adkinjo01,2004,0.3,301000.0,0.9967
affelje01,2002,1.3,200000.0,6.5
affelje01,2003,3.2,313000.0,10.2236
affelje01,2004,0.4,350000.0,1.1429
affelje01,2005,-0.3,950000.0,-0.3158
affelje01,2006,-1.2,1000000.0,-1.2
affelje01,2007,1.0,1250000.0,0.8
affelje01,2008,1.0,3000000.0,0.3333
affelje01,2009,2.6,3500000.0,0.7429
affelje01,2010,-0.1,4000000.0,-0.025
affelje01,2011,0.6,4500000.0,0.1333
affelje01,2012,0.8,5000000.0,0.16
affelje01,2013,0.1,6000000.0,0.0167
affelje01,2014,1.3,6000000.0,0.2167
affelje01,2015,-0.8,6000000.0,-0.1333
ainswku01,2002,0.5,200000.0,2.5
ainswku01,2003,0.5,302000.0,1.6556
ainswku01,2004,-1.0,315000.0,-3.1746
albaljo01,2008,0.2,393225.0,0.5086
albaljo01,2009,-0.1,403075.0,-0.2481
